date,variety,rating,rater,texture,flavor
2018-10-07,pahokee,8,irina,mildly greasy,mild
2018-10-07,pahokee,8.5,robin,rich,moderate
2018-10-08,lara red,8,robin,rich,good
2018-10-08,lara red,9,joubert,,
2018-10-08,lara red,9,ricardo,,
2018-10-08,lara red,8,yanru,,
2018-10-08,pahokee,7,robin,rich,moderate
2018-10-08,pahokee,7,yanru,,
2018-10-08,pahokee,8,ricardo,,
2018-10-08,pahokee,8,joubert,,
2018-10-08,lara red,7,kelsey,,
2018-10-08,pahokee,6,kelsey,,
2018-10-08,lara red,7,karen,,
2018-10-08,pahokee,8,karen,,
2018-10-09,pollock,8.5,ricardo,,
2018-10-09,pollock,6.5,robin,,
2018-10-09,pollock,7.5,james,,
2018-10-09,pollock,8,karen,,
2018-10-09,tonnage,7,robin,,
2018-10-09,tonnage,8,ricardo,,
2018-10-09,tonnage,8.5,james,,
2018-10-09,tonnage,9,karen,,
2018-10-09,pollock,4,kelsey,,
2018-10-09,tonnage,8,kelsey,,
2018-10-09,pollock,7,yanru,,
2018-10-09,tonnage,6,yanru,,
2018-10-10,bernecker,6,ricardo,,
2018-10-10,bernecker,6,karen,,
2018-10-10,bernecker,7.5,laurel,,
2018-10-10,bernecker,6.5,robin,,
2018-10-11,miguel,7,kelsey,,
2018-10-11,miguel,6,yanru,,
2018-10-11,miguel,6,robin,,
2018-10-12,marcus pumpkin,7,yanru,,
2018-10-12,marcus pumpkin,6,robin,,
2018-10-12,marcus pumpkin,6,ricardo,,
2018-10-12,marcus pumpkin,6,kelsey,,
